Generation,Nice,Bullies
1485,165,167, 
1486,165,167, 
1487,165,167, 
1488,165,167, 
1489,165,167, 
1490,165,167, 
1491,165,167, 
1492,165,167, 
1493,165,167, 
1494,165,166, 
1495,165,166, 
1496,165,166, 
1497,165,166, 
1498,165,166, 
1499,165,166, 
1500,165,166, 
1501,165,166, 
1502,165,166, 
1503,165,166, 
1504,165,166, 
1505,165,166, 
1506,165,166, 
1507,165,166, 
1508,165,166, 
1509,165,166, 
1510,165,166, 
1511,165,166, 
1512,165,166, 
1513,165,166, 
1514,165,166, 
1515,165,166, 
1516,165,166, 
1517,165,166, 
1518,165,166, 
1519,164,166, 
1520,164,166, 
1521,163,166, 
1522,163,166, 
1523,163,166, 
1524,163,166, 
1525,163,166, 
1526,163,166, 
1527,163,166, 
1528,163,166, 
1529,163,166, 
1530,163,166, 
1531,163,166, 
1532,163,166, 
1533,163,166, 
1534,163,166, 
1535,163,166, 
1536,163,166, 
1537,163,166, 
1538,163,166, 
1539,163,166, 
1540,163,166, 
1541,163,166, 
1542,163,166, 
1543,163,166, 
1544,163,166, 
1545,163,166, 
1546,163,166, 
1547,163,166, 
1548,163,166, 
1549,163,166, 
1550,163,166, 
1551,163,166, 
1552,163,166, 
1553,163,166, 
1554,163,166, 
1555,163,166, 
1556,163,166, 
1557,163,166, 
1558,163,166, 
1559,163,166, 
1560,163,166, 
1561,163,166, 
1562,163,166, 
1563,163,166, 
1564,163,166, 
1565,163,166, 
1566,163,166, 
1567,163,166, 
1568,163,166, 
1569,163,166, 
1570,163,166, 
1571,163,166, 
1572,163,166, 
1573,163,166, 
1574,163,166, 
1575,163,166, 
1576,163,166, 
1577,163,166, 
1578,163,166, 
1579,163,166, 
1580,163,166, 
1581,163,166, 
1582,163,166, 
1583,163,166, 
1584,163,166, 
1585,163,166, 
1586,163,166, 
1587,163,166, 
1588,163,166, 
1589,163,166, 
1590,163,166, 
1591,163,165, 
1592,163,165, 
1593,163,165, 
1594,163,165, 
1595,163,165, 
1596,163,165, 
1597,163,165, 
1598,163,165, 
1599,163,165, 
1600,163,165, 
1601,163,165, 
1602,163,165, 
1603,163,165, 
1604,163,165, 
1605,163,165, 
1606,163,165, 
1607,163,165, 
1608,163,165, 
1609,163,165, 
1610,163,165, 
1611,163,165, 
1612,163,165, 
1613,163,165, 
1614,163,165, 
1615,163,165, 
1616,163,165, 
1617,163,165, 
1618,163,165, 
1619,163,165, 
1620,163,165, 
1621,163,165, 
1622,163,165, 
1623,163,165, 
1624,163,165, 
1625,163,165, 
1626,163,165, 
1627,163,165, 
1628,163,165, 
1629,163,165, 
1630,163,165, 
1631,163,165, 
1632,163,165, 
1633,163,165, 
1634,163,165, 
1635,163,165, 
1636,163,165, 
1637,163,165, 
1638,163,165, 
1639,163,165, 
1640,163,165, 
1641,163,165, 
1642,163,165, 
1643,163,165, 
1644,163,165, 
1645,163,165, 
1646,163,165, 
1647,163,165, 
1648,163,165, 
1649,163,165, 
1650,163,165, 
1651,163,165, 
1652,163,165, 
1653,163,165, 
1654,163,165, 
1655,163,165, 
1656,163,165, 
1657,163,165, 
1658,163,165, 
1659,163,165, 
1660,163,165, 
